BI	TOTAL	ABU	JOC	MON	OUV	PER
.P	35	0	 9	 1	 10	 15
.Q	4	0	0	 3	0	 1
.R	25	 1	 2	 2	 3	 17
.S	26	0	 4	 4	 3	 15
.T	17	0	0	 1	 9	 7
.U	14	0	0	 1	0	 13
.V	12	 1	 1	 2	 1	 7
.W	7	0	 2	0	0	 5
.X	1	0	0	0	0	 1
.[	13	0	0	0	 3	 10
.]	1087	 16	 1	 2	 976	 92
.`	2	0	0	0	0	 2
.a	6	0	 4	 1	0	 1
.b	3	 2	 1	0	0	0
.c	13	0	0	0	 1	 12
.d	60	0	 1	 57	0	 2
.e	44	 1	0	 14	 9	 20
.f	7	0	 1	0	 3	 3
.g	201	0	0	 189	0	 12
.h	2	0	0	0	0	 2
.i	6	0	0	0	0	 6
.j	1	0	0	0	0	 1
.l	6	 1	0	0	0	 5
.m	279	0	 3	 273	 1	 2
.n	2	0	0	0	0	 2
.o	3	0	0	0	 2	 1
.p	31	0	 3	 25	0	 3
.q	5	0	 1	 1	 1	 2
.r	248	0	 1	 244	 3	0
.s	233	 1	0	 231	0	 1
.u	6	0	0	0	0	 6
.v	2	0	0	0	0	 2
.y	1	0	0	0	0	 1
.|	4	0	0	0	0	 4
.«	2	0	0	0	0	 2
.»	456	 158	 74	 3	0	 221
.À	1	0	0	0	 1	0
.ß	2	0	0	0	0	 2
.à	1	0	0	0	0	 1
.é	2	0	 1	 1	0	0
/ 	143	0	 29	 13	 59	 42
/)	3	0	0	0	 3	0
/,	11	0	0	0	 11	0
/-	6	0	0	0	0	 6
/.	8	0	0	0	 7	 1
//	68	0	 1	0	 65	 2
/0	45	0	 17	0	0	 28
/1	465	0	 370	 6	 13	 76
/2	176	 1	 153	 3	 3	 16
/3	499	0	 476	0	 16	 7
/4	493	 3	 467	 3	 8	 12
/5	140	0	 126	 2	 3	 9
/6	259	 1	 247	0	 4	 7
/7	134	0	 129	 1	 2	 2
/8	440	0	 429	 2	 3	 6
/9	3042	0	 2987	0	0	 55
/A	16	0	 13	 2	 1	0
/B	6	0	 4	0	 1	 1
